,id,gender,age,hhi,ethnicity,race
480,7871,Male,45 to 54 Years,7,non-hispanic,white
481,7872,Female,55 to 64 Years,3,non-hispanic,white
482,7873,Female,25 to 34 Years,7,non-hispanic,white
483,7874,Male,45 to 54 Years,8,,
484,7875,Female,18 to 24 Years,4,non-hispanic,white
485,7876,Male,55 to 64 Years,7,non-hispanic,white
486,7877,Female,45 to 54 Years,6,non-hispanic,white
487,7878,Female,45 to 54 Years,8,non-hispanic,white
488,7879,Male,65 to 74 Years,6,non-hispanic,asian
489,7880,Female,65 to 74 Years,4,non-hispanic,white
490,7881,,75 Years & Over,,,
491,7882,Female,65 to 74 Years,,non-hispanic,white
492,7883,,25 to 34 Years,7,non-hispanic,white
493,7884,Male,35 to 44 Years,7,non-hispanic,white
494,7885,Male,25 to 34 Years,4,non-hispanic,white
495,7886,Male,75 Years & Over,4,non-hispanic,white
496,7887,Male,65 to 74 Years,5,non-hispanic,white
497,7888,Female,75 Years & Over,,non-hispanic,white
498,7889,Female,25 to 34 Years,7,non-hispanic,white
499,7890,Female,25 to 34 Years,4,non-hispanic,white
500,7891,Male,45 to 54 Years,4,non-hispanic,white
501,7892,Female,18 to 24 Years,4,non-hispanic,white
502,7893,Female,35 to 44 Years,8,non-hispanic,white
503,7894,Female,25 to 34 Years,6,non-hispanic,white
